AÑO;PR;TIPO RED;CTRA;TR;ESTAC ASOC;ESTAC AFORO;PK ESTAC;ESTAC AFÍN;DESCRIPCIÓN DEL TRAMO;LONG;PK INICIAL;PK FINAL;IMD AÑO;IMD-L AÑO;IMDp AÑO;% LIG AÑO;% PES AÑO;IMD AÑO ANT;IMD-L  AÑO ANT;IMDp AÑO ANT;% LIG AÑO ANT;%PES AÑO ANT;VELOCIDAD MEDIA;RANGO VELOC MEDIA;% MOTOS;% TURISMOS;% FURGON.;% TRACT.;% AUTOBUSES;% CAM. S/R;% CAM. ART.;% TREN CTRA.;% EXTRANJ.;% MER. PEL.;LÍMITE CCAA;LÍMITE PROVINCIA;DOBLE CALZADA
2017;ZA;CP;ZA-104;2;ZA-4175;ZA-4175;12.0;ZA-1170;DE ZA-103 A RIBADELAGO VIEJO;5.72;10.43;16.15;529;500;29;94.52;5.48;382;354;28;92.67;7.33;71;71-80;1.01;82.86;8.84;0.11;0.75;5.91;0.52;0.0;1.2;0.26;;;
2017;ZA;CP;ZA-105;1;ZA-4490;ZA-4490;7.0;ZA-1170;DE CAMARZANA DE TERA (N-525) A N-631;10.37;0.0;10.37;598;541;57;90.47;9.53;514;458;56;89.11;10.89;83;81-90;1.01;82.86;8.84;0.11;0.75;5.91;0.52;0.0;1.2;0.26;;;
2017;ZA;CP;ZA-110;1;ZA-4180;ZA-4180;2.0;ZA-1140;DE CAMARZANA DE TERA (N-525) A SANTIBÁÑEZ DE VIDRIALES (ZA-P-2555);9.036;0.0;9.036;749;713;36;95.19;4.81;700;651;49;93.0;7.0;83;81-90;0.16;83.87;4.58;0.19;0.31;6.06;4.42;0.41;0.14;0.0;;;
2017;ZA;CP;ZA-125;1;ZA-4150;ZA-4150;3.0;ZA-1170;DE PALACIOS DE SANABRIA (N-525) A LÍMITE DE PROVINCIA DE LEÓN;33.61;0.0;33.61;306;295;11;96.41;3.59;285;277;8;97.19;2.81;74;71-80;1.01;82.86;8.84;0.11;0.75;5.91;0.52;0.0;1.2;0.26;;LE;
2017;ZA;CP;ZA-302;2;ZA-4210;ZA-4210;19.9;ZA-1045;DE PEÑAUSENDE (ZA-305) A FRESNO DE SAYAGO (ZA-320);9.9;14.6;24.5;321;259;62;80.69;19.31;342;270;72;78.95;21.05;83;81-90;0.85;73.75;13.41;0.0;0.27;9.07;2.66;0.0;0.53;0.08;;;
2017;ZA;CP;ZA-302;3;ZA-4220;ZA-4220;33.5;ZA-1055;DE FRESNO DE SAYAGO (ZA-320) A BERMILLO DE SAYAGO (CL-527);12.66;24.5;37.16;389;378;11;97.17;2.83;452;439;13;97.12;2.88;72;71-80;1.16;79.3;9.75;0.0;0.65;5.83;3.02;0.29;2.33;0.07;;;
2017;ZA;CP;ZA-305;1;ZA-4235;ZA-4235;2.6;ZA-1055;DE N-630 A SAN MARCIAL;9.11;0.0;9.11;1599;1492;107;93.31;6.69;1698;1475;223;86.87;13.13;89;81-90;1.16;79.3;9.75;0.0;0.65;5.83;3.02;0.29;2.33;0.07;;;
2017;ZA;CP;ZA-311;1;ZA-4255;ZA-4255;10.0;ZA-1055;DE MORALINA (ZA-324) A BERMILLO DE SAYAGO (CL-527);13.05;0.0;13.05;659;602;57;91.35;8.65;659;602;57;91.35;8.65;94;91-100;1.16;79.3;9.75;0.0;0.65;5.83;3.02;0.29;2.33;0.07;;;
2017;ZA;CP;ZA-311;2;ZA-4260;ZA-4260;15.0;ZA-1055;DE BERMILLO DE SAYAGO (CL-527) A ALMEIDA DE SAYAGO (ZA-320);11.81;13.05;24.86;569;530;39;93.15;6.85;578;541;37;93.6;6.4;83;81-90;1.16;79.3;9.75;0.0;0.65;5.83;3.02;0.29;2.33;0.07;;;
2017;ZA;CP;ZA-324;3;ZA-4275;ZA-4275;18.82;ZA-1055;DE MORALINA (ZA-311) A LA FRONTERA CON PORTUGAL;11.88;17.2;29.08;696;675;21;96.98;3.02;488;462;26;94.67;5.33;82;81-90;1.16;79.3;9.75;0.0;0.65;5.83;3.02;0.29;2.33;0.07;P;;
